price,location,id,size
480,NA,9712931,NA
NA,NA,9712932,NA
NA,NA,9712933,NA
NA,NA,9712934,NA
367,"
                            Alfred-Kästner-Str. 40
                        

            04275 Leipzig Südvorstadt
",9712935,16
NA,NA,9712936,NA
420,"
                            Wangener Straße 13
                        

            88212 Ravensburg 
",9712937,14
710,"
                            Holsterhauser str 160
                        

            45147 Essen Holsterhausen
",9712938,65
378,"
                            17 c August-Bebel-Str.
                        

            01219 Dresden Strehlen
",9712939,25
NA,NA,9712940,NA
NA,NA,9712941,NA
400,"
                            Janackovo nabrezi
                        

            150 00 Prag Praha Smichov
",9712942,20
NA,NA,9712943,NA
1210,"
                            Asamstraße 10
                        

            81541 München Au-Haidhausen
",9712944,50
NA,NA,9712945,NA
600,NA,9712946,15
NA,NA,9712947,NA
495,"
                            Spandauer Damm
                        

            14059 Berlin Charlottenburg
",9712948,33
1200,NA,9712949,65
420,"
                            Leonhardstraße
                        

            8010 Graz St. Leonhard
",9712950,12
400,NA,9712951,25
520,"
                            Kaiserstrasse 22
                        

            26122 Oldenburg Bahnhofsviertel
",9712952,40
NA,NA,9712953,NA
NA,NA,9712954,NA
270,"
                            Milanweg
                        

            33100 Paderborn Kaukenberg
",9712955,18
NA,NA,9712956,NA
358,"
                            Käfertaler Straße 81
                        

            68167 Mannheim Neckarstadt Ost
",9712957,18
NA,"
                            Kalker Hauptstr.
                        

            51103 Köln Kalk
",9712958,NA
358,"
                            Käfertaler Straße 81
                        

            68167 Mannheim Neckarstadt Ost
",9712957,18
NA,"
                            Kalker Hauptstr.
                        

            51103 Köln Kalk
",9712958,NA
1200,NA,9712959,55
NA,NA,9712960,NA
NA,NA,9712961,NA
650,NA,9712962,NA
NA,NA,9712963,NA
302,"
                            Alfred-Nobel-Straße, 39
                        

            55124 Mainz Gonsenheim
",9712964,16
650,"
                            Schellbergstraße
                        

            70188 Stuttgart Ost
",9712965,20
NA,"
                            Gartenstraße
                        

            31141 Hildesheim Ost
",9712966,NA
1000,NA,9712967,NA
NA,NA,9712968,NA
550,"
                            Flossgasse 5
                        

            Wien Wien 02. Bezirk Leopoldstadt
",9712969,23
NA,NA,9712970,NA
600,"
                            Helmholtzstraße 6
                        

            50825 Köln Ehrenfeld
",9712971,11
NA,NA,9712972,NA
NA,NA,9712973,NA
NA,NA,9712974,NA
650,"
                            Erkstraße
                        

            12043 Berlin Neukölln
",9712975,19
NA,NA,9712976,NA
NA,NA,9712977,NA
750,"
                            Prenzlauer Allee
                        

            10405 Berlin Prenzlauer Berg
",9712978,18
NA,"
                            Bornheimerstrasse
                        

            53111 Bonn Zentrum
",9712979,NA
500,"
                            Storkower str 223
                        

            10367 Berlin Lichtenberg
",9712980,15
NA,NA,9712981,NA
650,NA,9712982,30
NA,NA,9712983,NA
1000,NA,9712984,NA
375,NA,9712985,NA
NA,"
                            Gottlieberstraße
                        

            78462 Konstanz Paradies
",9712986,NA
1200,NA,9712987,NA
NA,NA,9712988,NA
750,"
                            Friedenspromenade 98
                        

            81827 München Trudering-Riem
",9712989,16
850,"
                            Frankenthalstr. 16
                        

            65385 Rüdesheim am Rhein Assmannshausen
",9712990,57
438,"
                            Schobersmühlenweg
                        

            99089 Erfurt Andreasvorstadt
",9712991,16
470,"
                            Sebastiansweiler Str. 4
                        

            72116 Mössingen Belsen
",9712992,32
400,"
                            Würzburger Straße, 34
                        

            97209 Veitshöchheim Veitshöchheim
",9712993,15
420,"
                            Sudetenstr. 13
                        

            74321 Bietigheim-Bissingen Bietigheim
",9712994,20
NA,"
                            Ingolstädterstraße
                        

            60316 Frankfurt am Main Bornheim
",9712995,NA
NA,NA,9712996,NA
NA,NA,9712997,NA
NA,NA,9712998,NA
NA,NA,9712999,NA
NA,NA,9713000,NA
NA,"
                            Ostseestr.
                        

            10409 Berlin Prenzlauer Berg
",9713001,NA
660,"
                            Kronenburgallee 16
                        

            44139 Dortmund Dortmund - Innenstadt-West
",9713002,68
NA,NA,9713003,NA
450,"
                            Seckenheimer Str. 59
                        

            68165 Mannheim Schwetzingerstadt
",9713004,16
410,"
                            Goßfeldener straße 5
                        

            35041 Marburg Wehrda
",9713005,20
NA,NA,9713006,NA
NA,NA,9713007,NA
410,"
                            Goßfeldener straße 5
                        

            35041 Marburg Wehrda
",9713005,20
NA,NA,9713006,NA
NA,NA,9713007,NA
NA,NA,9713008,NA
500,NA,9713009,NA
680,"
                            Dammstraße 15
                        

            74076 Heilbronn Heilbronn
",9713010,30
NA,NA,9713011,NA
